iter	Passed	Remaining
0	0	92
1	1	85
2	2	82
3	3	75
4	3	73
5	4	71
6	5	70
7	6	69
8	6	68
9	7	67
10	8	66
11	8	65
12	9	63
13	10	62
14	10	61
15	11	60
16	12	58
17	12	57
18	13	57
19	14	56
20	14	55
21	15	54
22	16	53
23	16	52
24	17	51
25	17	51
26	18	50
27	19	49
28	20	49
29	20	48
30	21	47
31	22	46
32	22	46
33	23	45
34	23	44
35	24	43
36	25	43
37	25	42
38	26	41
39	27	40
40	27	40
41	28	38
42	28	38
43	29	37
44	30	36
45	30	35
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	35	31
53	35	30
54	36	29
55	37	29
56	38	28
57	39	28
58	40	27
59	40	27
60	41	26
61	42	26
62	43	25
63	44	24
64	45	24
65	46	23
66	46	22
67	47	22
68	48	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	63	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	67	0
99	68	0
