iter	Passed	Remaining
0	144	144220
1	145	72477
2	146	48541
3	146	36544
4	147	29318
5	147	24505
6	148	21070
7	149	18496
8	149	16490
9	150	14881
10	150	13568
11	151	12479
12	152	11556
13	152	10768
14	153	10079
15	154	9479
16	154	8951
17	155	8484
18	156	8064
19	156	7688
20	157	7351
21	158	7038
22	158	6749
23	159	6485
24	160	6242
25	160	6019
26	161	5812
27	161	5619
28	162	5441
29	163	5274
30	163	5117
31	164	4971
32	164	4834
33	165	4702
34	166	4578
35	166	4463
36	167	4356
37	168	4255
38	168	4160
39	169	4067
40	170	3980
41	170	3897
42	171	3819
43	172	3742
44	172	3667
45	173	3596
46	173	3525
47	174	3460
48	175	3397
49	175	3336
50	176	3278
51	176	3221
52	177	3167
53	177	3116
54	178	3065
55	178	3016
56	179	2969
57	180	2923
58	180	2879
59	181	2839
60	181	2800
61	182	2764
62	183	2728
63	184	2692
64	184	2657
65	185	2622
66	186	2590
67	186	2559
68	187	2526
69	188	2499
70	188	2469
71	189	2439
72	189	2412
73	190	2384
74	191	2356
75	191	2329
76	192	2302
77	192	2277
78	193	2252
79	193	2227
80	194	2205
81	194	2181
82	195	2155
83	195	2134
84	196	2115
85	197	2095
86	197	2076
87	198	2056
88	199	2038
89	199	2019
90	200	2001
91	201	1984
92	201	1967
93	202	1950
94	202	1933
95	203	1916
96	204	1899
97	204	1882
98	205	1866
99	205	1850
100	206	1834
101	206	1818
102	207	1806
103	207	1791
104	208	1777
105	209	1764
106	209	1751
107	210	1738
108	211	1725
109	211	1714
110	212	1703
111	213	1691
112	213	1679
113	214	1667
114	215	1657
115	216	1647
116	216	1635
117	217	1625
118	218	1614
119	218	1604
120	219	1595
121	220	1586
122	221	1576
123	221	1567
124	222	1557
125	223	1547
126	223	1537
127	224	1528
128	225	1519
129	225	1511
130	226	1503
131	227	1495
132	228	1488
133	229	1481
134	230	1473
135	230	1465
136	231	1458
137	232	1450
138	233	1443
139	233	1435
140	234	1427
141	234	1418
142	235	1411
143	236	1403
144	236	1396
145	237	1388
146	238	1381
147	238	1374
148	239	1367
149	240	1360
150	240	1354
151	241	1348
152	242	1342
153	243	1336
154	243	1329
155	244	1322
156	245	1316
157	245	1309
158	246	1302
159	246	1296
160	247	1288
161	247	1282
162	248	1276
163	249	1269
164	249	1263
165	250	1256
166	250	1250
167	251	1243
168	251	1237
169	252	1232
170	252	1226
171	253	1220
172	254	1214
173	254	1210
174	255	1205
175	256	1200
176	257	1195
177	257	1190
178	258	1185
179	259	1182
180	260	1177
181	260	1172
182	261	1167
183	262	1162
184	262	1157
185	263	1152
186	263	1146
187	264	1141
188	264	1136
189	265	1131
190	266	1127
191	266	1122
192	267	1118
193	268	1113
194	268	1108
195	269	1103
196	269	1099
197	270	1095
198	271	1091
199	271	1086
200	272	1082
201	273	1078
202	273	1074
203	274	1070
204	275	1067
205	275	1063
206	276	1058
207	276	1054
208	277	1049
209	278	1045
210	278	1041
211	279	1037
212	279	1033
213	280	1029
214	281	1026
215	281	1022
216	282	1018
217	282	1014
218	283	1010
219	283	1006
220	284	1003
221	285	999
222	285	996
223	286	993
224	287	989
225	287	986
226	288	983
227	289	980
228	290	976
229	290	973
230	291	969
231	291	966
232	292	962
233	292	958
234	293	955
235	294	952
236	294	948
237	295	945
238	295	941
239	296	938
240	296	935
241	297	931
242	298	928
243	298	926
244	299	923
245	300	920
246	301	917
247	301	915
248	302	912
249	303	910
250	304	907
251	304	904
252	305	901
253	305	898
254	306	895
255	307	892
256	307	889
257	308	886
258	308	884
259	309	881
260	310	878
261	310	875
262	311	872
263	311	869
264	312	866
265	312	863
266	313	860
267	313	857
268	314	854
269	315	852
270	315	849
271	316	847
272	317	844
273	317	842
274	318	839
275	319	837
276	319	834
277	320	832
278	321	829
279	321	827
280	322	824
281	322	821
282	323	819
283	323	816
284	324	813
285	325	811
286	325	809
287	326	807
288	327	804
289	327	802
290	328	799
291	328	797
292	329	794
293	330	792
294	331	791
295	331	789
296	332	786
297	333	785
298	334	783
299	334	781
300	335	778
301	335	776
302	336	774
303	337	771
304	337	769
305	338	767
306	338	764
307	339	762
308	340	760
309	340	758
310	341	756
311	341	753
312	342	751
313	342	749
314	343	747
315	344	745
316	345	743
317	345	741
318	346	739
319	347	737
320	347	735
321	348	733
322	349	731
323	349	729
324	350	727
325	351	726
326	351	724
327	352	722
328	353	720
329	353	718
330	354	716
331	354	714
332	355	712
333	356	709
334	356	707
335	357	705
336	357	703
337	358	701
338	359	700
339	359	698
340	360	696
341	361	695
342	361	693
343	362	691
344	363	689
345	363	687
346	364	685
347	364	683
348	365	681
349	366	680
350	366	678
351	367	676
352	368	674
353	368	673
354	369	671
355	370	669
